Strategy,Avg Test Edge,Median Test Edge,Positive Windows,Total Windows,Worst Test Edge,Avg Annual Return,Worst Max Drawdown,Avg Exposure,Max Exposure
"Core: Above200+Below20+5D<-2.5%, 1.50x, 10d, StopBelow200",0.009053411503161565,0.007127684896246933,7,8,-0.003455277885669794,0.13268105014394044,-0.517425272307976,1.0650380526047774,1.5
"Core: Above200+Below20+5D<-3.0%, 1.75x, 7d, Recover20",0.009032434524028368,0.01199526072197199,7,8,-0.02633800412421583,0.13125025996835427,-0.5084412169648076,1.0453350380421664,1.75
"Core: Above200+Below20+5D<-2.5%, 1.75x, 5d, Fixed",0.008895712765960045,0.009724530600735415,7,8,-0.03286707534069966,0.13226418483222663,-0.5279198997050538,1.0616459413022867,1.75
"Core: Above200+Below20+5D<-3.0%, 1.50x, 10d, StopBelow200",0.007999672277047745,0.007522360283806928,7,8,-0.008897436569737849,0.13015557687053997,-0.5091243456814842,1.0423315332169076,1.5
"Core: Above200+Below20+5D<-3.0%, 2.00x, 7d, StopBelow200+Recover20",0.007940835149122583,0.006479373441501846,7,8,-0.025565852374875186,0.13065215919422393,-0.5064197894887456,1.053113731335929,2.0
"Core: Above200+Below20+5D<-2.5%, 1.50x, 10d, Fixed",0.007920331486453783,0.0054478271113224674,7,8,-0.010706159464394904,0.13174016940383043,-0.5192777715592141,1.0706830989348637,1.5
"Core: Above200+Below20+5D<-3.0%, 1.75x, 7d, StopBelow200",0.00783734174008388,0.00964436618044695,7,8,-0.014555230455215007,0.1304176165373147,-0.5076083785884136,1.0489940554800827,1.75
"Core: Above200+Below20+5D<-2.5%, 1.50x, 7d, Recover20",0.007820102719888436,0.009555998255620757,7,8,-0.026178084686429903,0.13020720500546057,-0.5067040276094021,1.0425447946620063,1.5
"Core: Above200+Below20+5D<-2.0%, 1.25x, 7d, StopBelow200",0.00775825468587979,0.007441463448504493,7,8,-0.00042683241393115523,0.12990227859825237,-0.5100505185258486,1.0369977459857669,1.25
"Core: Above200+Below20+5D<-2.0%, 1.25x, 10d, StopBelow200",0.007588409208958605,0.009349963535763783,7,8,-0.0029145316501896223,0.13046577984507401,-0.5116856155422704,1.0476768998157135,1.25
"Core: Above200+Below20+5D<-2.5%, 1.50x, 5d, StopBelow200",0.0075528066636145474,0.007588107731831828,7,8,-0.013372801812531643,0.12963134848058247,-0.5116540821172506,1.0381001638625018,1.5
"Core: Above200+Below20+5D<-3.0%, 1.50x, 7d, Fixed",0.007320440669816311,0.009585038624689013,7,8,-0.008665553334585185,0.12912993915386578,-0.5070756613416838,1.0363291966802017,1.5
"Core: Above200+Below20+5D<-2.0%, 1.25x, 7d, Recover20",0.007068567848744531,0.008985787186897465,7,8,-0.014917613091800952,0.12847916568797613,-0.5066680815662766,1.0279633714590475,1.25
"Core: Above200+Below20+5D<-1.5%, 1.25x, 7d, Fixed",0.006736124559868356,0.005846978017229887,7,8,-0.009590217504178655,0.12953819043425338,-0.5160775183332199,1.0503529507387146,1.25
"Core: Above200+Below20+5D<-3.0%, 1.50x, 7d, Recover20",0.006184262830991286,0.008043608365102317,7,8,-0.017142888820420366,0.12759657763534152,-0.5061850431284409,1.0302233586947778,1.5
"Core: Above200+Below20+5D<-3.0%, 1.75x, 7d, StopBelow200+Recover20",0.00614682951726532,0.005085315660958267,7,8,-0.01857538296739114,0.1281351843565443,-0.5049253020690212,1.0398352985019468,1.75
"Core: Above200+Below20+5D<-2.5%, 1.25x, 7d, Fixed",0.006136806869730088,0.007210286538759769,7,8,-0.005630682103945794,0.12757743971007007,-0.5075592898374657,1.0272407066124922,1.25
"Core: Above200+Below20+5D<-2.5%, 1.50x, 5d, Fixed",0.006099893229740097,0.006595785844014546,7,8,-0.021644700634265046,0.1282839329459854,-0.5193065492755307,1.0410972942015246,1.5
"Core: Above200+Below20+5D<-1.5%, 1.25x, 5d, Fixed",0.005777623484151298,0.00551395990082254,7,8,-0.009957996410812076,0.1277824411647745,-0.5156452231265674,1.0385049584924468,1.25
